Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
0.05845175,105,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.058777,106,DATA,0x10210046,0x8,0x02 0xBF 0xFE 0xFF 0xFC 0x33 0x00 0x01,0x2BF7,ACK
0.05891925,107,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.0601225,108,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.0602915,109,DATA,0x10210046,0x8,0x02 0xBF 0xFE 0xFF 0xFC 0x33 0x00 0x01,0x2BF7,ACK
0.0604335,110,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.06179275,111,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.062125875,112,DATA,0x10210046,0x8,0x02 0xC4 0xFF 0x00 0xFC 0x34 0x00 0x01,0x65F1,ACK
0.062267125,113,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.0634625,114,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.0636275,115,DATA,0x10210046,0x8,0x02 0xC4 0xFF 0x00 0xFC 0x34 0x00 0x01,0x65F1,ACK
0.0637685,116,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.06513275,117,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.065454875,118,DATA,0x10210046,0x8,0x02 0xC0 0xFE 0xFD 0xFC 0x39 0x00 0x01,0x2082,ACK
0.065597875,119,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.066803,120,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.066975125,121,DATA,0x10210046,0x8,0x02 0xC0 0xFE 0xFD 0xFC 0x39 0x00 0x01,0x2082,ACK
0.0671185,122,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
